address,bathrooms,building_subtype,building_type,conservation_state,date,discount,floor_elevator,is_new_construction,link,price,realestate,realestate_id,rooms,sqft_m2
"Carrer Roger de Lluria, Dreta de l'Eixample",3,Flat,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/calefaccion-terraza-ascensor-amueblado/157693942/d,5000,SOMOS REAL ESTATE SERVICES,9202765680731,3,208
Sant Antoni,1,Flat,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/157693938/d,1250,TECNOCASA RIERA ALTA MAR,9202751363773,3,93
"Carrer Valencia, La Nova Esquerra de l'Eixample",2,Flat,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/calefaccion-parking-ascensor/157693936/d,1600,SOMOS REAL ESTATE SERVICES,9202765680731,4,129
"Carrer Muntaner, Sant Gervasi- Galvany",2,Flat,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/157693935/d,3200,SOMOS REAL ESTATE SERVICES,9202765680731,2,133
"Rambla del Raval, El Raval",1,Flat,Flat,2,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/ascensor/157693929/d,1000,ESTUDI JOAN MIRO.SL.,9202762439813,3,67
"Maestro Perez Cabrero, Sant Gervasi- Galvany",3,Flat,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-terraza-ascensor/157693931/d,2600,SOMOS REAL ESTATE SERVICES,9202765680731,4,176
"Avinguda Diagonal, L'Antiga Esquerra de l'Eixample",3,Flat,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor/157693930/d,3000,SOMOS REAL ESTATE SERVICES,9202765680731,3,200
El Besós i el Maresme,1,Flat,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/ascensor/157693928/d,731,PUNT FORUM  ,9202751960910,3,59
"Passeig Bonanova, 56, Sant Gervasi i la Bonanova",1,Flat,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-ascensor-amueblado-piscina/157693927/d,980,SOMOS REAL ESTATE SERVICES,9202765680731,1,50
"Carrer de Tarragona, La Nova Esquerra de l'Eixample",2,Flat,Flat,2,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor/157693926/d,1250,ESTUDI JOAN MIRO.SL.,9202762439813,4,106
"Carrer de Vilamarí, La Nova Esquerra de l'Eixample",1,Flat,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-patio-amueblado/157693924/d,1200,ESTUDI JOAN MIRO.SL.,9202762439813,2,68
"Carrer de la Riera de Sant Miquel, Vila de Gràcia",2,Apartment,Flat,3,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-ascensor-amueblado-internet/157693887/d,2800,CLICK AND FLAT,9202765553654,2,95
"Carrer de la Riera de Sant Miquel, Vila de Gràcia",2,Apartment,Flat,3,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-ascensor-amueblado-internet/157693886/d,3500,CLICK AND FLAT,9202765553654,3,120
"Radas, El Poble Sec - Parc de Montjuïc",1,Flat,Flat,2,2020-10-28,120,0,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-amueblado/157509513/d,980,APROPERTIES REAL ESTATE Nº Aicat 6388,9202753825457,2,52
Les Roquetes,1,Flat,Flat,2,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/patio-se-aceptan-mascotas/157693878/d,650,LA CASA AGENCY,9202754927038,2,63
"Carrer Milanesat, Les Tres Torres",2,Flat,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor/157693784/d,1326,FINCAS SANCHO GIL,9202752559047,3,82
La Bordeta,1,Flat,Flat,0,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/la-bordeta/157693779/d,805,FINCAS LLURIA,9202752214161,3,60
Sant Gervasi- Galvany,1,Flat,Flat,3,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/ascensor/157693778/d,900,FINCAS LLURIA,9202752214161,1,55
"Carrer de Simancas, Les Roquetes",1,Flat,Flat,3,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-amueblado/157693765/d,650,LA CASA AGENCY,9202754927038,2,57
El Raval,2,Flat,Flat,3,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-amueblado/157693732/d,1000,AREA CASA,9202752570036,2,65
Pedralbes,3,Flat,Flat,3,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/calefaccion-parking-trastero-ascensor-piscina-se-aceptan-mascotas-no-amueblado/157693713/d,1900,ENGEL & VOELKERS,9202758116439,3,175
"Carrer de Palomar, Sant Andreu del Palomar",2,Attic,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/calefaccion-terraza-trastero-ascensor/157693660/d,1190,FINCAS CUMBRE,943003000964,4,140
Vila de Gràcia,2,Flat,Flat,1,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-amueblado/157693643/d,2200,ENGEL & VOELKERS,9202758116439,3,154
Sant Gervasi- Galvany,2,Flat,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-trastero-ascensor/157693636/d,1550,MONIKA RÜSCH,9202753807547,3,126
Vila de Gràcia,2,Flat,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-jardin-ascensor-no-amueblado/157693629/d,1720,ENGEL & VOELKERS,9202758116439,3,116
"Carrer de Biscaia, 372, Navas",2,Flat,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor/157693579/d,1075,FINQUES CAHISA,9202759813248,3,86
Sarrià,3,Apartment,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-ascensor-piscina-amueblado/157693524/d,3500,ENGEL & VOELKERS,9202758116439,2,140
L'Antiga Esquerra de l'Eixample,1,Apartment,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/157693478/d,1800,ENGEL & VOELKERS,9202758116439,3,95
Sarrià,3,Flat,Flat,0,2020-10-28,200,0,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking/157289839/d,2800,MONIKA RÜSCH,9202753807547,5,178
"Sant Pere, Sta. Caterina i la Ribera",2,Flat,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-zona-comunitaria-ascensor-amueblado-internet/155179299/d,4200,MONIKA RÜSCH,9202753807547,2,90
"Carrer D'en Fontrodona, El Poble Sec - Parc de Montjuïc",1,Flat,Flat,0,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/el-poble-sec---parc-de-montjuic/157690632/d,800,Finques Ferrera,9202756068750,2,55
Sarrià,2,Flat,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-parking/157690630/d,1950,Singular Properties,9202754635034,4,133
"Carrer Mineria, El Poble Sec - Parc de Montjuïc",2,Flat,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/calefaccion-terraza-ascensor/157690570/d,935,CAFUR,9202764178856,3,81
"Carrer de Cerdanyola, 39, Sants",1,Flat,Flat,0,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/sants/157690519/d,495,FINCAS NAGORE,943003068323,1,30
Dreta de l'Eixample,2,Apartment,Flat,2,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/157690516/d,1400,ENGEL & VOELKERS,9202758116439,2,90
"Avinguda de Josep Tarradellas, La Nova Esquerra de l'Eixample",1,Flat,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-patio/157209229/d,1200,ARNAL  Servicios Inmobiliarios,9202750542526,1,85
Barri de les Corts,3,House_Chalet,Flat,1,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-patio/157594954/d,1790,ARNAL  Servicios Inmobiliarios,9202750542526,2,165
"Villarroel, L'Antiga Esquerra de l'Eixample",1,Flat,Flat,2,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/157209074/d,990,ARNAL  Servicios Inmobiliarios,9202750542526,2,65
"Castillejos, Sagrada Família",2,Flat,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor/157638726/d,1015,ARNAL  Servicios Inmobiliarios,9202750542526,3,0
"Carrer de Viladomat, La Nova Esquerra de l'Eixample",1,Flat,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-no-amueblado/157639372/d,1059,ARNAL  Servicios Inmobiliarios,9202750542526,4,68
"Carrer de Sugranyes, Sants-Badal",1,Flat,Flat,2,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/amueblado/157690425/d,700,ESTUDI MERCAT DE SANTS,9202751617451,2,50
"Plaça de Lesseps, El Putget i el Farró",1,Duplex,Flat,2,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/calefaccion/157690345/d,920,NEDDERMANN GESTION INMOBILIARIA,9202753034531,2,54
"Carrer de Provença, Sagrada Família",2,Flat,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-no-amueblado/157690284/d,1300,NOVA LLAR,9202754661585,3,105
"Carrer de Sugranyes, 39, Sants - Montjuïc",2,Flat,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor-patio-amueblado/157690203/d,1000,,9202765692681,3,90
"Carrer de Còrsega, 533, Sagrada Família",2,Flat,Flat,2,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/ascensor-amueblado/157690235/d,1000,FINQUES PORTA,9202751312743,3,92
"Avinguda de Josep Tarradellas, La Nova Esquerra de l'Eixample",2,Flat,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/calefaccion-terraza-ascensor-amueblado-television/157690205/d,1400,SELLARES GESTIO DE PATRIMONIS IMMOBILIARIS SL,9202756890474,4,114
La Nova Esquerra de l'Eixample,2,Flat,Flat,3,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/calefaccion-parking-ascensor-no-amueblado/157690141/d,1200,ENGEL & VOELKERS,9202758116439,4,84
"Carrer de Freneria, Barri Gòtic",2,Flat,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-ascensor-amueblado/157690131/d,1250,"OPTIMUN ENTERPRISE, S.L",943003059792,2,68
"Carrer de Bertran, El Putget i el Farró",1,Flat,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-ascensor-amueblado-internet/157689971/d,1000,FINQUES CLADEBALL,9202764874311,2,45
Sant Gervasi- Galvany,1,Attic,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-no-amueblado/157689952/d,1250,ENGEL & VOELKERS,9202758116439,3,55
El Raval,1,Flat,Flat,3,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-amueblado/157689822/d,1050,AREA CASA,9202752570036,3,70
"Carrer de Balmes, 299, Sant Gervasi- Galvany",3,Flat,Flat,2,2020-10-28,50,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/157689818/d,1600,BCN LIVING,9202751969010,4,172
"Carrer de Ca L'alegre de Dalt, El Camp d'en Grassot i Gràcia Nova",1,Flat,Flat,2,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor-amueblado/157689803/d,850,BERGUA,9202751917637,2,65
"Carrer de Fontanella, Dreta de l'Eixample",1,Flat,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/ascensor/157688286/d,950,"GESFINCA, S.L.",9202752402082,2,65
"Carrer L'alfambra, Pedralbes",1,Flat,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor/157688050/d,1200,"GESFINCA, S.L.",9202752402082,2,85
"Carrer de la Creu Coberta, Hostafrancs",1,Flat,Flat,1,2020-10-28,50,0,False,/es/alquiler/vivienda/barcelona-capital/hostafrancs/156014278/d,800,"GESFINCA, S.L.",9202752402082,2,60
"Carrer Avila, El Parc i la Llacuna del Poblenou",1,Flat,Flat,0,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/terraza-trastero/157689553/d,700,RS INVESTORS,9202765542630,2,66
"Carrer Sant Antoni Maria Claret, Sagrada Família",2,Apartment,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado/157689548/d,1167,RS INVESTORS,9202765542630,3,73
"Carrer Bassegoda, Sants-Badal",2,Apartment,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-trastero-ascensor/157689547/d,690,RS INVESTORS,9202765542630,1,49
"Gran de Gràcia, Vila de Gràcia",1,Study,Flat,0,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-amueblado/157664341/d,675,INMOBILIARIA GLOBAL BCN,9202753556408,0,45
