address,bathrooms,date,discount,floor_elevator,link,price,realestate,rooms,sqft_m2
"Travessera de Dalt, 50, La Salut",2,2020-10-22,,1,/es/inmobiliaria-monaco-i-rosich-gestio-de-patrimonis/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202751373984,1300,MONACO I ROSICH GESTIO DE PATRIMONIS,4,130
Fort Pienc,1,2020-10-22,,1,/es/inmobiliaria-atico-y-terrazas-sl/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=943003055771,1000,"ATICO Y TERRAZAS, S.L.",2,54
"Carrer de la Legalitat, El Camp d'en Grassot i Gràcia Nova",1,2020-10-22,,1,/es/inmobiliaria-fincas-sanpo/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202762421395,1050,FINCAS SANPÓ,3,70
"Carrer D'alí Bei, Fort Pienc",1,2020-10-22,,1,/es/inmobiliaria-garcia-assessors-associats/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202752569293,1150,GARCÍA ASSESSORS & ASSOCIATS,4,100
El Raval,1,2020-10-22,,0,/es/inmobiliaria-area-casa/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202752570036,700,AREA CASA,1,40
"Padilla, Fort Pienc",1,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1230,APROPERTIES REAL ESTATE Nº Aicat 6388,4,103
"Casanova, L'Antiga Esquerra de l'Eixample",3,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,2900,APROPERTIES REAL ESTATE Nº Aicat 6388,3,132
"Consell de Cent , Dreta de l'Eixample",2,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1900,APROPERTIES REAL ESTATE Nº Aicat 6388,3,110
"Passeig Taulat , Diagonal Mar i el Front Marítim del Poblenou",2,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,4000,APROPERTIES REAL ESTATE Nº Aicat 6388,3,140
"C/ D'entença, La Nova Esquerra de l'Eixample",1,2020-10-22,50 €,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1350,APROPERTIES REAL ESTATE Nº Aicat 6388,3,70
