address,date,discount,floor_elevator,link,price,rooms,sqft_m2
"Piso en ROGER DE LLURIA, La Dreta de l'Eixample, Barcelona",2020-10-20,0,15 oct,http://idealista.com/inmueble/91395577/,950.0,1,45.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,4 horas,http://idealista.com/inmueble/91450954/,2500.0,4,133.0
"Piso en ronda Sant Pere, 33, La Dreta de l'Eixample, Barcelona",2020-10-20,0,4ª planta exterior con ascensor,http://idealista.com/inmueble/90967061/,2200.0,3,110.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,4 horas,http://idealista.com/inmueble/91450952/,1350.0,2,85.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,8 horas,http://idealista.com/inmueble/91450493/,2300.0,6,170.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,8 horas,http://idealista.com/inmueble/91450490/,4950.0,3,143.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,13 horas,http://idealista.com/inmueble/91448057/,950.0,3,70.0
"Piso en ronda de Sant Pere, La Dreta de l'Eixample, Barcelona",2020-10-20,0,14 oct,http://idealista.com/inmueble/91386282/,2000.0,1,100.0
"Piso en plaza d'Urquinaona, La Dreta de l'Eixample, Barcelona",2020-10-20,0,2ª planta exterior con ascensor,http://idealista.com/inmueble/89950758/,1250.0,4,137.0
"Piso en ronda de la Universitat, La Dreta de l'Eixample, Barcelona",2020-10-20,0,13 horas,http://idealista.com/inmueble/91447990/,1400.0,3,110.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,1ª planta  con ascensor,http://idealista.com/inmueble/90556775/,1590.0,2,71.0
"Piso en calle de Roger de Flor, La Dreta de l'Eixample, Barcelona",2020-10-20,0,13 horas,http://idealista.com/inmueble/91447875/,900.0,2,60.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,6ª planta exterior con ascensor,http://idealista.com/inmueble/90287452/,3100.0,4,195.0
"Piso en rambla de Catalunya, La Dreta de l'Eixample, Barcelona",2020-10-20,0,14 horas,http://idealista.com/inmueble/91447140/,2000.0,3,105.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,10 horas,http://idealista.com/inmueble/91447000/,1600.0,3,95.0
"Piso en calle del Consell de Cent, La Dreta de l'Eixample, Barcelona",2020-10-20,0,2ª planta exterior con ascensor,http://idealista.com/inmueble/91282650/,1700.0,2,80.0
"Piso en ronda de la Universitat, La Dreta de l'Eixample, Barcelona",2020-10-20,0,14 horas,http://idealista.com/inmueble/30751933/,970.0,1,40.0
"Piso en plaza CATALUNYA, La Dreta de l'Eixample, Barcelona",2020-10-20,0,5ª planta exterior con ascensor,http://idealista.com/inmueble/91188211/,1400.0,2,90.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,14 horas,http://idealista.com/inmueble/34149829/,1600.0,2,57.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,2ª planta exterior con ascensor,http://idealista.com/inmueble/90664962/,1400.0,3,105.0
"Piso en rambla de Catalunya, La Dreta de l'Eixample, Barcelona",2020-10-20,0,14 horas,http://idealista.com/inmueble/91446272/,2300.0,4,130.0
"Piso en mallorca, La Dreta de l'Eixample, Barcelona",2020-10-20,0,3ª planta exterior con ascensor,http://idealista.com/inmueble/90477993/,1400.0,3,77.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,interior con ascensor,http://idealista.com/inmueble/90632822/,1850.0,2,80.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,15 horas,http://idealista.com/inmueble/615695/,1600.0,2,60.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,13 oct,http://idealista.com/inmueble/86188968/,2300.0,4,210.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,15 horas,http://idealista.com/inmueble/91445702/,2500.0,3,144.0
"Estudio en Passatge Coll del Portell, La Dreta de l'Eixample, Barcelona",2020-10-20,0,2ª planta exterior sin ascensor,http://idealista.com/inmueble/91162173/,750.0,,40.0
"Piso en calle de Pau Claris, La Dreta de l'Eixample, Barcelona",2020-10-20,0,15 horas,http://idealista.com/inmueble/91445107/,1400.0,3,99.0
"Piso en calle de Valencia, 266, La Dreta de l'Eixample, Barcelona",2020-10-20,0,15 horas,http://idealista.com/inmueble/91401006/,1350.0,3,97.0
"Piso en paseo de Sant Joan, 129, La Dreta de l'Eixample, Barcelona",2020-10-20,0,1ª planta exterior con ascensor,http://idealista.com/inmueble/90524017/,1900.0,2,102.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,1ª planta  con ascensor,http://idealista.com/inmueble/89376801/,1850.0,3,129.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,1ª planta  con ascensor,http://idealista.com/inmueble/89775860/,1650.0,2,89.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,1ª planta  con ascensor,http://idealista.com/inmueble/89881007/,2200.0,3,140.0
"Piso en Pelai, La Dreta de l'Eixample, Barcelona",2020-10-20,0,16 horas,http://idealista.com/inmueble/91444312/,650.0,1,30.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,14 oct,http://idealista.com/inmueble/91380265/,1750.0,2,115.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,4ª planta  con ascensor,http://idealista.com/inmueble/90509127/,1900.0,3,135.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,1ª planta  con ascensor,http://idealista.com/inmueble/90969427/,2200.0,2,121.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,con ascensor,http://idealista.com/inmueble/91003016/,2450.0,3,135.0
"Piso en avenida Diagonal, La Dreta de l'Eixample, Barcelona",2020-10-20,0,16 horas,http://idealista.com/inmueble/91444109/,1850.0,3,129.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,3ª planta  con ascensor,http://idealista.com/inmueble/91242030/,1800.0,3,100.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,2ª planta  con ascensor,http://idealista.com/inmueble/91259360/,1650.0,2,94.0
"Piso en Passatge de Bocabella, La Dreta de l'Eixample, Barcelona",2020-10-20,0,16 horas,http://idealista.com/inmueble/91444077/,1050.0,3,72.0
"Piso en Provenza, La Dreta de l'Eixample, Barcelona",2020-10-20,0,1ª planta exterior con ascensor,http://idealista.com/inmueble/91065796/,950.0,3,80.0
"Piso en Gran Via de les Corts Catalanes, La Dreta de l'Eixample, Barcelona",2020-10-20,0,16 horas,http://idealista.com/inmueble/91443961/,1700.0,2,119.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,14 oct,http://idealista.com/inmueble/89789311/,1046.0,1,70.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,17 horas,http://idealista.com/inmueble/91443623/,1000.0,3,89.0
"Piso en paseo de gracia, 11, La Dreta de l'Eixample, Barcelona",2020-10-20,0,2ª planta exterior con ascensor,http://idealista.com/inmueble/89034829/,4000.0,3,136.0
"Piso en Eixample Dret, s/n, La Dreta de l'Eixample, Barcelona",2020-10-20,0,17 horas,http://idealista.com/inmueble/91443530/,800.0,2,65.0
"Piso en Pau Claris, 155, La Dreta de l'Eixample, Barcelona",2020-10-20,0,17 horas,http://idealista.com/inmueble/91442947/,1200.0,2,70.0
"Piso en paseo de Gracia, Barcelona, La Dreta de l'Eixample, Barcelona",2020-10-20,0,4ª planta exterior con ascensor,http://idealista.com/inmueble/82310528/,1645.0,2,100.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,Bajo exterior sin ascensor,http://idealista.com/inmueble/91282494/,1350.0,1,40.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,16 oct,http://idealista.com/inmueble/91416976/,1500.0,2,50.0
"Piso en calle Mallorca, 266, La Dreta de l'Eixample, Barcelona",2020-10-20,0,19 horas,http://idealista.com/inmueble/91441678/,1400.0,3,95.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,1ª planta interior con ascensor,http://idealista.com/inmueble/91241519/,1750.0,3,150.0
"Piso en calle girona, La Dreta de l'Eixample, Barcelona",2020-10-20,0,19 horas,http://idealista.com/inmueble/32186092/,1600.0,3,135.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,1ª planta interior con ascensor,http://idealista.com/inmueble/91038848/,1150.0,1,50.0
"Piso en calle de Roger de Flor, 148, La Dreta de l'Eixample, Barcelona",2020-10-20,0,20 horas,http://idealista.com/inmueble/91440647/,950.0,2,65.0
"Piso en calle de Balmes, La Dreta de l'Eixample, Barcelona",2020-10-20,0,17 oct,http://idealista.com/inmueble/91425618/,2400.0,2,110.0
"Piso en Corcega, La Dreta de l'Eixample, Barcelona",2020-10-20,0,19 horas,http://idealista.com/inmueble/91440420/,1500.0,5,164.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,20 horas,http://idealista.com/inmueble/90706261/,890.0,1,50.0
"Piso en ronda de Sant Pere, 11, La Dreta de l'Eixample, Barcelona",2020-10-20,0,6ª planta interior con ascensor,http://idealista.com/inmueble/88206192/,1195.0,2,75.0
"Piso en calle de Pau Claris, La Dreta de l'Eixample, Barcelona",2020-10-20,0,16 oct,http://idealista.com/inmueble/91411769/,2500.0,2,87.0
"Piso en calle de Girona, La Dreta de l'Eixample, Barcelona",2020-10-20,0,21 horas,http://idealista.com/inmueble/91439342/,1800.0,3,115.0
"Piso en rambla de Catalunya, La Dreta de l'Eixample, Barcelona",2020-10-20,0,21 horas,http://idealista.com/inmueble/91439249/,1850.0,2,120.0
"Piso en rambla de Catalunya, La Dreta de l'Eixample, Barcelona",2020-10-20,0,21 horas,http://idealista.com/inmueble/91439258/,1250.0,1,65.0
"Piso en rambla de Catalunya, La Dreta de l'Eixample, Barcelona",2020-10-20,0,16 oct,http://idealista.com/inmueble/91408821/,2070.0,2,70.0
"Piso en calle de Trafalgar, La Dreta de l'Eixample, Barcelona",2020-10-20,0,21 horas,http://idealista.com/inmueble/91438822/,1275.0,1,92.0
"Piso en calle Balmes, La Dreta de l'Eixample, Barcelona",2020-10-20,0,1ª planta exterior con ascensor,http://idealista.com/inmueble/91035175/,1050.0,2,69.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,21 horas,http://idealista.com/inmueble/91438771/,3750.0,3,120.0
"Piso en calle Balmes, La Dreta de l'Eixample, Barcelona",2020-10-20,0,3ª planta exterior con ascensor,http://idealista.com/inmueble/91332365/,1050.0,2,69.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,21 horas,http://idealista.com/inmueble/91438448/,1300.0,2,76.0
"Piso en rambla de Catalunya, La Dreta de l'Eixample, Barcelona",2020-10-20,0,16 oct,http://idealista.com/inmueble/91408808/,6000.0,4,211.0
"Piso en Domingo, 11, La Dreta de l'Eixample, Barcelona",2020-10-20,0,21 horas,http://idealista.com/inmueble/91437993/,1300.0,2,70.0
"Piso en avenida Diagonal, La Dreta de l'Eixample, Barcelona",2020-10-20,0,21 horas,http://idealista.com/inmueble/91437956/,1200.0,3,100.0
"Piso en La Dreta de l'Eixample, Barcelona",2020-10-20,0,16 oct,http://idealista.com/inmueble/91419726/,1850.0,2,69.0
"Piso en calle Mallorca, 360, La Dreta de l'Eixample, Barcelona",2020-10-20,0,22 horas,http://idealista.com/inmueble/91436931/,1100.0,2,75.0
"Piso en rambla de Catalunya, La Dreta de l'Eixample, Barcelona",2020-10-20,0,23 horas,http://idealista.com/inmueble/91436002/,1050.0,1,40.0
"Piso en calle Mallorca, La Dreta de l'Eixample, Barcelona",2020-10-20,0,22 horas,http://idealista.com/inmueble/91436868/,1350.0,3,130.0
"Piso en Provenza, 255, La Dreta de l'Eixample, Barcelona",2020-10-20,0,21 horas,http://idealista.com/inmueble/91436783/,1550.0,2,102.0
"Piso en Pau Claris, 155, La Dreta de l'Eixample, Barcelona",2020-10-20,0,16 oct,http://idealista.com/inmueble/91419814/,1200.0,2,70.0
"Piso en rambla de Catalunya, La Dreta de l'Eixample, Barcelona",2020-10-20,0,22 horas,http://idealista.com/inmueble/91436716/,2900.0,3,145.0
"Piso en Roger de Flor, 220, La Dreta de l'Eixample, Barcelona",2020-10-20,0,23 horas,http://idealista.com/inmueble/91436462/,1000.0,2,74.0
"Piso en paseo de Gracia, La Dreta de l'Eixample, Barcelona",2020-10-20,0,1ª planta exterior con ascensor,http://idealista.com/inmueble/90471563/,1700.0,2,86.0
