address,bathrooms,building_subtype,building_type,conservation_state,date,discount,floor_elevator,is_new_construction,latitude,link,longitude,price,realestate,realestate_id,rooms,sqft_m2
Ciutat Vella,1,Flat,Flat,,2022-01-08,100,0,False,41.38275,/es/alquiler/vivienda/barcelona-capital/la-barceloneta/161316189/d,2.186045,750,Forcadell Res.Lloguers,9202753948202,1,39
"Arago, Eixample",2,Flat,Flat,,2022-01-08,0,1,False,41.39772,/es/alquiler/vivienda/barcelona-capital/ascensor-amueblado/160314360/d,2.172476,1100,INMOBILIARIA IBERCASA,9202752115659,3,78
"Carrer de la Unió, Ciutat Vella",1,Apartment,Flat,,2022-01-08,0,0,False,41.3794,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-internet/161839830/d,2.173641,720,Homelike,9202762567099,1,7
"Carrer Pi, Ciutat Vella",1,Flat,Flat,,2022-01-08,0,0,False,41.38467,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado/160196766/d,2.171993,1000,PERAIRE PROPERTIES SL,9202765564524,4,116
Eixample,1,Flat,Flat,,2022-01-08,0,1,False,41.38183,/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor/161788855/d,2.164716,850,ACBAR REAL ESTATE,9202761615353,1,60
"Carrer de Pavía, Sants - Montjuïc",1,Flat,Flat,2,2022-01-08,0,0,False,41.37177,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-amueblado/162114759/d,2.129664,680,Balsells Zaragoza Gestió,9202754153645,2,40
"Valemcia, 293, Eixample",1,Attic,Flat,1,2022-01-08,0,1,False,41.39556,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-terraza-ascensor-no-amueblado/161927942/d,2.16695,1300,URBENORTE CATALUNYA,900140000217,0,60
"Carrer de Sardenya, 67, Sant Martí",1,Flat,Flat,3,2022-01-08,0,1,False,41.39269,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-no-amueblado/161999324/d,2.1873,850,Activa Properties,9202767830668,2,45
"Margarit, Sants - Montjuïc",1,Flat,Flat,,2022-01-08,49,0,False,41.37289,/es/alquiler/vivienda/barcelona-capital/el-poble-sec---parc-de-montjuic/161468968/d,2.163278,750,ACBAR REAL ESTATE,9202761615353,1,47
"Carrer del Rosselló, Eixample",1,Study,Flat,,2022-01-08,35,1,False,41.40805,/es/alquiler/vivienda/barcelona-capital/ascensor/161640471/d,2.177075,790,Balsells Zaragoza Gestió,9202754153645,2,65
Horta - Guinardó,1,Flat,Flat,2,2022-01-08,0,1,False,41.42201,/es/alquiler/vivienda/barcelona-capital/jardin-terraza-ascensor/161881156/d,2.15678,860,PATRIMONIA,9202756542502,2,63
"Calle Carrer Gran de Gràcia, Gràcia",1,Flat,Flat,2,2022-01-08,0,1,False,41.39985,/es/alquiler/vivienda/barcelona-capital/ascensor-amueblado/150987436/d,2.155308,1600,080 REAL ESTATE,9202756880405,2,60
"De la Nena Casas, Sarrià - Sant Gervasi",3,Flat,Flat,,2022-01-08,500,1,False,41.39691,/es/alquiler/vivienda/barcelona-capital/parking-ascensor/160695102/d,2.12992,3200,OLLE BERTRAN,9202757335733,5,272
"Sardenya, Eixample",1,Flat,Flat,3,2022-01-08,0,1,False,41.39951,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-ascensor-no-amueblado/162037868/d,2.178591,850,Balsells Zaragoza Gestió,9202754153645,2,54
"Passatge D'escudellers, Ciutat Vella",2,Flat,Flat,1,2022-01-08,450,1,False,41.37924,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado-internet/161299772/d,2.176529,2350,JÜRGEN WEISS INMOBILIARIA,9202763703850,3,107
"Carrer del Caire, 7, Sarrià - Sant Gervasi",1,Flat,Flat,2,2022-01-08,0,1,False,41.41121,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-ascensor-amueblado/161770765/d,2.14127,700,PUNTO HABITAT,943003066102,1,30
"Plaça de Pau Vila, 12, Ciutat Vella",2,Flat,Flat,1,2022-01-08,0,1,False,41.38263,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-parking-ascensor-no-amueblado/162219864/d,2.18537,1225,LAZORA,9202750766581,2,80
Sarrià - Sant Gervasi,2,Flat,Flat,1,2022-01-08,0,1,False,41.4006,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-no-amueblado/162138996/d,2.139678,2950,APROPERTIES REAL ESTATE Nº Aicat 6388,9202753825457,3,123
"Carrer Santalo, Sarrià - Sant Gervasi",2,Flat,Flat,,2022-01-08,0,1,False,41.39727,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor/161729173/d,2.14374,2180,"GD&A BROKERS INMOBILIARIOS, S.L",9202750933819,4,150
"Carrer del Comte Borrell, Eixample",2,Flat,Flat,2,2022-01-08,0,1,False,41.37827,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-patio/160464876/d,2.161429,1250,María,9202761130717,4,95
