address,bathrooms,building_subtype,building_type,conservation_state,date,discount,floor_elevator,is_new_construction,latitude,link,longitude,price,realestate,realestate_id,rooms,sqft_m2
"Passeig Maragall, Sant Andreu",2,Flat,Flat,,2022-03-07,0,1,False,41.41844,/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor/161729314/d,2.180883,1150,FINQUES RODÉS,9202753029175,2,80
"Sant Pau, Ciutat Vella",1,Apartment,Flat,,2022-03-07,0,0,False,41.37811,/es/alquiler/vivienda/barcelona-capital/no-amueblado/161897255/d,2.170881,1100,ENGEL & VOELKERS,9202758116439,1,55
Ciutat Vella,2,Flat,Flat,,2022-03-07,60,1,False,41.38074,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor/160021428/d,2.170323,900,Forcadell Res.Lloguers,9202753948202,2,65
"Carrer Cera, Ciutat Vella",1,Flat,Flat,,2022-03-07,20,0,False,41.38074,/es/alquiler/vivienda/barcelona-capital/amueblado/162306500/d,2.1644,830,FINQUES RODÉS,9202753029175,2,55
"Carrer Valencia, 550, Sant Martí",2,Flat,Flat,2,2022-03-07,0,1,False,41.40702,/es/alquiler/vivienda/barcelona-capital/ascensor-no-amueblado/162794900/d,2.182597,978,FINQUES RODÉS,9202753029175,4,83
"Carrer del Consell de Cent, Eixample",1,Flat,Flat,1,2022-03-07,0,1,False,41.38425,/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor-amueblado/162473543/d,2.156836,1300,SOMOSCASA,9202752737168,3,72
"Muntaner, Eixample",2,Flat,Flat,3,2022-03-07,0,1,False,41.38876,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/162781513/d,2.15644,2300,APROPERTIES REAL ESTATE BARCELONA Nº Aicat 6388,9202753825457,3,95
"Pg. de Sant Joan, Gràcia",1,Flat,Flat,2,2022-03-07,0,1,False,41.40306,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-no-amueblado/162780897/d,2.164118,1400,APROPERTIES REAL ESTATE BARCELONA Nº Aicat 6388,9202753825457,2,60
"Mallorca, Sant Martí",1,Flat,Flat,2,2022-03-07,0,1,False,41.40808,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-ascensor-amueblado/162439529/d,2.181912,1390,Balsells Zaragoza Gestió,9202754153645,3,72
"Carrer de Berlín, Sants - Montjuïc",1,Attic,Flat,,2022-03-07,100,1,False,41.38418,/es/alquiler/vivienda/barcelona-capital/terraza-ascensor-no-amueblado/162694518/d,2.141163,1100,URBENORTE CATALUNYA,900140000217,1,42
"Carrer de Les Basses de Sant Pere, Ciutat Vella",1,Loft,Flat,,2022-03-07,0,0,False,41.38922,/es/alquiler/vivienda/barcelona-capital/amueblado/162706532/d,2.179512,1000,RS GROUP,9202759306905,1,45
